Generation Number,Elapsed Time,Best Fitness,Average Fitness
0,0.12503933906555176,99,136.20333333333335
1,0.1406230926513672,99,132.99333333333334
2,0.15628480911254883,99,130.05666666666667
3,0.18753337860107422,94,125.91
4,0.20325851440429688,91,125.47666666666667
5,0.22217679023742676,91,123.68666666666667
6,0.23892450332641602,91,121.96666666666667
7,0.2545921802520752,91,119.63
8,0.2707793712615967,91,117.35666666666667
9,0.2864565849304199,83,115.55
10,0.30206966400146484,83,113.89
11,0.31769347190856934,83,112.55333333333333
12,0.33333373069763184,83,110.90333333333334
13,0.3489563465118408,83,109.68666666666667
14,0.3645651340484619,83,107.88
15,0.38051915168762207,83,106.6
16,0.39618635177612305,80,104.99666666666667
17,0.41181302070617676,80,104.10666666666667
18,0.4430668354034424,80,102.73333333333333
19,0.4586801528930664,79,102.04333333333334
20,0.4743027687072754,79,100.52333333333333
21,0.4899287223815918,76,98.84
22,0.5055615901947021,76,98.29666666666667
23,0.5211734771728516,76,97.8
24,0.536797046661377,76,96.59
25,0.5524399280548096,76,95.96333333333334
26,0.5680453777313232,73,93.87666666666667
27,0.5836734771728516,73,92.66666666666667
28,0.5992991924285889,73,91.74333333333334
29,0.6149189472198486,73,90.01666666666667
30,0.6461703777313232,73,89.23333333333333
31,0.6617860794067383,73,88.21666666666667
32,0.6774122714996338,70,87.46
33,0.6930310726165771,67,85.97
34,0.708655595779419,67,85.7
35,0.7282333374023438,66,84.77666666666667
36,0.7438621520996094,66,83.81333333333333
37,0.7595410346984863,66,82.95333333333333
38,0.7751469612121582,66,83.17
39,0.7907750606536865,66,82.47333333333333
40,0.8064017295837402,66,81.73333333333333
41,0.8333265781402588,66,81.19
42,0.8489973545074463,66,80.61666666666666
43,0.8646194934844971,66,79.88333333333334
44,0.8802502155303955,64,79.84
45,0.8958704471588135,64,78.52
46,0.9114906787872314,64,78.24
47,0.9271140098571777,64,77.75
48,0.9427361488342285,64,76.98666666666666
49,0.9583168029785156,64,76.43
50,0.9739854335784912,64,76.12666666666667
51,1.00523042678833,64,75.02333333333333
52,1.0208640098571777,64,74.31
53,1.0364809036254883,64,73.71
54,1.0520999431610107,64,72.99666666666667
55,1.0677263736724854,64,71.31
56,1.08335542678833,64,70.56
57,1.0989716053009033,64,69.51333333333334
58,1.114595651626587,64,68.91
59,1.1302165985107422,64,68.28333333333333
60,1.145843267440796,64,67.8
61,1.1614747047424316,64,67.26333333333334
62,1.1770896911621094,64,66.68666666666667
63,1.2084381580352783,64,66.8
64,1.224134922027588,64,66.92
65,1.243112325668335,64,66.28
66,1.2595953941345215,64,66.42333333333333
67,1.2752575874328613,64,66.29666666666667
68,1.2908833026885986,64,66.04333333333334
69,1.3065063953399658,64,65.58666666666667
70,1.3221304416656494,64,65.71666666666667
71,1.3377530574798584,64,66.35
72,1.3533740043640137,64,66.3
73,1.3690052032470703,64,65.91
74,1.3846287727355957,64,65.83333333333333
75,1.400264024734497,62,66.2
76,1.4158780574798584,62,66.05333333333333
77,1.4314954280853271,62,66.26666666666667
78,1.4627206325531006,62,66.41333333333333
79,1.478370189666748,62,66.00666666666666
80,1.4939830303192139,62,65.72666666666667
81,1.5096170902252197,62,65.67
82,1.5252318382263184,62,66.00333333333333
83,1.5408587455749512,62,65.48666666666666
84,1.5564792156219482,62,65.35
85,1.57210111618042,62,65.10666666666667
86,1.5877232551574707,62,64.6
87,1.6033520698547363,62,64.87333333333333
88,1.618971347808838,61,64.52333333333333
89,1.6502187252044678,61,64.05333333333333
90,1.6658449172973633,61,64.06333333333333
91,1.6779730319976807,61,64.33
92,1.6936521530151367,61,63.61666666666667
93,1.7092702388763428,61,63.64666666666667
94,1.72489333152771,61,64.07
95,1.74479079246521,61,64.33666666666667
96,1.7604200839996338,61,64.01666666666667
97,1.7760837078094482,61,64.11666666666666
98,1.7917160987854004,61,63.85333333333333
99,1.8073291778564453,61,63.836666666666666
100,1.8229544162750244,61,63.766666666666666
101,1.8385748863220215,61,64.08666666666667
102,1.8698232173919678,61,63.56333333333333
103,1.8854446411132812,61,63.89666666666667
104,1.9010682106018066,60,63.61333333333334
105,1.9166944026947021,60,63.65
106,1.9323158264160156,60,63.81666666666667
107,1.9479446411132812,60,63.78
108,1.9635615348815918,60,63.846666666666664
109,1.9791934490203857,60,63.776666666666664
110,1.9948101043701172,60,63.303333333333335
111,2.010432481765747,60,63.01
112,2.0260555744171143,60,63.02
113,2.041677236557007,60,62.52333333333333
114,2.072935104370117,60,62.81666666666667
115,2.0885605812072754,60,62.413333333333334
116,2.1041719913482666,60,62.013333333333335
117,2.1197967529296875,60,61.72666666666667
118,2.1354238986968994,60,61.78
119,2.15104079246521,60,61.75
120,2.1666643619537354,60,61.473333333333336
121,2.182295799255371,60,61.376666666666665
122,2.208843469619751,60,61.43666666666667
123,2.2246289253234863,60,61.56333333333333
124,2.240502119064331,60,61.39666666666667
125,2.244645595550537,60,61.3
126,2.2759366035461426,60,61.00666666666667
127,2.2915616035461426,60,61.45333333333333
128,2.307191848754883,60,61.52
129,2.322807788848877,60,61.67666666666667
130,2.338428258895874,60,61.65
131,2.3540666103363037,60,61.46333333333333
132,2.369677782058716,60,61.376666666666665
133,2.3852999210357666,60,61.50666666666667
134,2.4009225368499756,60,61.53333333333333
135,2.4165449142456055,60,61.766666666666666
136,2.4321699142456055,60,61.27
137,2.4477920532226562,60,61.413333333333334
138,2.479032516479492,60,61.07
139,2.4946787357330322,60,61.16
140,2.510298252105713,60,61.406666666666666
141,2.5259275436401367,60,61.663333333333334
142,2.5415353775024414,60,61.5
143,2.5571560859680176,60,61.32666666666667
144,2.5727784633636475,60,61.596666666666664
145,2.588402271270752,60,61.336666666666666
146,2.6040291786193848,60,61.586666666666666
147,2.619652509689331,60,61.29333333333334
148,2.6352744102478027,60,61.32333333333333
149,2.650895595550537,60,61.54666666666667
150,2.6665284633636475,60,61.52333333333333
151,2.6977670192718506,60,61.55
152,2.7133901119232178,60,61.38333333333333
153,2.7290172576904297,60,61.54666666666667
154,2.748109817504883,60,61.43
155,2.7645440101623535,60,61.25666666666667
156,2.7801594734191895,60,61.21
157,2.79579496383667,60,61.53333333333333
158,2.811415195465088,60,61.38666666666666
159,2.8270373344421387,60,61.50666666666667
160,2.84265398979187,60,61.46333333333333
161,2.858278512954712,60,61.50333333333333
162,2.873901605606079,60,61.403333333333336
163,2.88952374458313,60,61.263333333333335
164,2.9051473140716553,60,61.43333333333333
165,2.920769453048706,60,61.21666666666667
166,2.9363930225372314,60,61.236666666666665
167,2.9520225524902344,60,61.47666666666667
168,2.983267068862915,60,61.24
169,2.9988887310028076,60,61.29666666666667
170,3.0145089626312256,60,61.416666666666664
171,3.0301401615142822,60,61.39
172,3.0457582473754883,60,61.65
173,3.061383008956909,60,61.18666666666667
174,3.077012777328491,60,61.333333333333336
175,3.0926296710968018,60,61.013333333333335
176,3.1082603931427,60,61.42666666666667
177,3.123879909515381,60,61.42666666666667
178,3.139500141143799,60,61.36666666666667
179,3.170750617980957,60,61.11
180,3.1863656044006348,60,61.28333333333333
181,3.201991558074951,60,61.49
182,3.217616081237793,60,61.15
183,3.233349561691284,60,61.43333333333333
184,3.2532765865325928,60,61.38666666666666
185,3.2689452171325684,60,61.5
186,3.2845704555511475,60,61.52
187,3.3001914024353027,60,61.403333333333336
188,3.3158133029937744,60,61.39666666666667
189,3.3314366340637207,60,61.43666666666667
190,3.3470633029937744,60,61.53
191,3.3626906871795654,60,61.61
192,3.3783071041107178,60,61.403333333333336
193,3.3939409255981445,60,61.49333333333333
194,3.4251785278320312,60,61.60333333333333
195,3.440803050994873,60,61.28
196,3.4564239978790283,60,61.56666666666667
197,3.472048759460449,60,61.21666666666667
198,3.487671136856079,60,61.123333333333335
199,3.5032944679260254,60,61.26
200,3.51892352104187,60,61.38
201,3.534543991088867,60,61.14333333333333
202,3.561070442199707,60,61.44
203,3.576752185821533,60,61.24666666666667
204,3.5923807621002197,60,61.44
205,3.6079916954040527,60,61.51
206,3.6236205101013184,60,61.38
207,3.6392457485198975,60,61.39333333333333
208,3.6548616886138916,60,61.17333333333333
209,3.670482873916626,60,61.376666666666665
210,3.6861190795898438,60,61.45333333333333
211,3.701730251312256,60,61.41
212,3.717363119125366,60,61.78666666666667
213,3.732975721359253,60,61.556666666666665
214,3.764223575592041,60,61.56666666666667
215,3.768893241882324,60,61.653333333333336
216,3.784555673599243,60,61.45666666666666
217,3.800179958343506,60,61.763333333333335
218,3.8314268589019775,60,61.526666666666664
219,3.847050428390503,60,61.24333333333333
220,3.8626716136932373,60,61.65
221,3.878295421600342,60,61.86
222,3.893918514251709,60,61.58
223,3.9095468521118164,60,61.596666666666664
224,3.92516827583313,60,61.45333333333333
225,3.9407944679260254,60,61.6
226,3.9564120769500732,60,61.416666666666664
227,3.9720356464385986,60,61.54
228,3.987668514251709,60,61.78666666666667
229,4.018908262252808,60,61.92333333333333
230,4.034536600112915,60,61.346666666666664
231,4.050157070159912,60,61.42333333333333
232,4.065780878067017,60,61.57
233,4.081406116485596,60,61.36333333333334
234,4.097025632858276,60,61.38
235,4.112645864486694,60,61.92666666666667
236,4.128268241882324,60,61.303333333333335
237,4.1438963413238525,60,61.76
238,4.1595213413238525,60,61.45666666666666
239,4.1751415729522705,60,61.17666666666667
240,4.190762519836426,60,61.4
241,4.222012758255005,60,61.693333333333335
242,4.237719535827637,60,61.52
243,4.253436803817749,60,61.483333333333334
244,4.273059129714966,60,61.39333333333333
245,4.288735866546631,60,61.56666666666667
246,4.304369211196899,60,61.406666666666666
247,4.319985866546631,60,61.32
